111,null,null,1 Donald Street,Vanier ,19,6,13,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
112,541,Huntley Community Centre,108 Juanita Avenue,West Carleton,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui
113,808,R. George Pushman Park,1270 Pebble Road,Ottawa,3,0,3,no/non,no/non,no/non,yes/oui,no/non,no/non
114,31,Carleton Heights Park,1665 Apeldoorn Avenue,Ottawa,2,0,2,no/non,no/non,no/non,no/non,no/non,no/non
115,141,Lincoln Heights Park,265 Britannia Road,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
116,921,Riverain Park,400 North River Road,Vanier,4,0,4,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
117,130,Owl Park,215 Owl Drive,Ottawa,4,0,4,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
118,970,Yves Chenier Park,3585 Sarsfield Road,Cumberland,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
119,1573,Dr. John Hopps Park,300 Den Haag Drive,Ottawa,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
120,37,Canterbury Park,2185 Arch Street,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
121,675,Carson Grove Park,1423 Matheson Road,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui
122,831,Playfair Park,1801 Playfair Drive,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
123,1160,Alexander Grove Park,10 Warner Colpitts Lane,Goulbourn,3,0,3,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui
124,1511,Valin Park and South Fallingbrook Community Centre,998 Valin Street,Cumberland,3,0,3,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
125,1801,Walden Park,130 Walden Drive,Kanata,1,0,1,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
126,2499,Summerhill Park,560 Summerhill Street,Gloucester,2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non
127,942,Lindenlea Park,15 Rockcliffe Way,Ottawa,3,0,3,no/non,no/non,yes/oui,yes/oui,no/non,no/non
128,1191,Medhurst Park,72 Medhurst Drive,Nepean,0,0,0,no/non,no/non,no/non,no/non,yes/oui,no/non
129,468,Arnott Park,691 Hartman Crescent,Ottawa,2,0,2,no/non,no/non,no/non,yes/oui,no/non,no/non
130,23,Dale Park,1590 Alta Vista Drive,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
